Date,Time,Price,Bid,Ask,Size
02/03/2020,10:48:08,127.64,127.64,127.65,100
02/03/2020,10:48:13,127.65,127.64,127.65,100
02/03/2020,10:48:17,127.64,127.64,127.65,100
02/03/2020,10:48:17,127.64,127.64,127.65,100
02/03/2020,10:48:19,127.65,127.65,127.66,100
02/03/2020,10:48:47,127.632,127.63,127.64,500
02/03/2020,10:48:55,127.63,127.62,127.63,100
02/03/2020,10:48:55,127.63,127.62,127.63,100
02/03/2020,10:48:55,127.63,127.62,127.63,100
02/03/2020,10:48:55,127.63,127.62,127.63,211
02/03/2020,10:48:55,127.63,127.62,127.63,101
02/03/2020,10:49:03,127.63,127.63,127.64,165
02/03/2020,10:49:03,127.63,127.63,127.64,100
02/03/2020,10:49:26,127.62,127.61,127.62,100
02/03/2020,10:49:42,127.595,127.59,127.6,100
02/03/2020,10:49:51,127.59,127.59,127.6,212
02/03/2020,10:49:51,127.59,127.59,127.6,200
02/03/2020,10:49:59,127.59,127.58,127.6,100
02/03/2020,10:49:59,127.59,127.58,127.6,100
02/03/2020,10:50:00,127.58,127.58,127.59,300
02/03/2020,10:50:04,127.59,127.58,127.59,100
02/03/2020,10:50:10,127.579,127.57,127.58,100
02/03/2020,10:50:10,127.58,127.58,127.59,100
02/03/2020,10:50:10,127.5732,127.58,127.59,100
02/03/2020,10:50:10,127.5832,127.58,127.59,356
02/03/2020,10:50:34,127.59,127.58,127.59,100
02/03/2020,10:50:34,127.59,127.59,127.6,100
02/03/2020,10:50:37,127.6,127.59,127.6,100
02/03/2020,10:50:37,127.6,127.59,127.6,100
02/03/2020,10:50:37,127.6042,127.59,127.6,100
02/03/2020,10:50:37,127.6,127.59,127.6,244
02/03/2020,10:50:49,127.61,127.61,127.62,100
02/03/2020,10:50:52,127.6039,127.6,127.61,184
02/03/2020,10:51:16,127.64,127.64,127.65,100
02/03/2020,10:51:24,127.645,127.65,127.66,100
02/03/2020,10:51:24,127.65,127.65,127.66,161
02/03/2020,10:51:25,127.6507,127.65,127.66,100
02/03/2020,10:51:33,127.625,127.62,127.63,100
02/03/2020,10:51:34,127.62,127.62,127.62,300
02/03/2020,10:51:34,127.62,127.62,127.62,800
02/03/2020,10:51:34,127.62,127.62,127.62,100
02/03/2020,10:51:34,127.62,127.62,127.62,100
02/03/2020,10:51:34,127.62,127.62,127.62,100
02/03/2020,10:51:34,127.62,127.62,127.62,400
02/03/2020,10:51:34,127.62,127.62,127.62,100
02/03/2020,10:51:34,127.62,127.62,127.62,100
02/03/2020,10:51:34,127.62,127.62,127.62,100
02/03/2020,10:51:34,127.62,127.62,127.62,400
02/03/2020,10:51:34,127.62,127.62,127.62,800
02/03/2020,10:51:34,127.62,127.62,127.62,400
02/03/2020,10:51:34,127.62,127.62,127.62,100
02/03/2020,10:51:34,127.62,127.62,127.62,200
02/03/2020,10:51:34,127.62,127.62,127.63,100
02/03/2020,10:51:34,127.62,127.62,127.63,1000
02/03/2020,10:51:34,127.62,127.62,127.63,100
02/03/2020,10:51:34,127.62,127.62,127.63,100
02/03/2020,10:51:34,127.62,127.62,127.63,100
02/03/2020,10:51:34,127.62,127.62,127.63,100
02/03/2020,10:51:34,127.62,127.62,127.63,600
02/03/2020,10:51:34,127.62,127.62,127.63,100
02/03/2020,10:51:34,127.62,127.62,127.63,100
02/03/2020,10:51:34,127.62,127.62,127.63,100
02/03/2020,10:51:49,127.6,127.6,127.61,300
02/03/2020,10:52:06,127.62,127.61,127.62,100
02/03/2020,10:52:06,127.62,127.61,127.62,100
02/03/2020,10:52:17,127.6307,127.63,127.64,300
02/03/2020,10:52:34,127.6398,127.63,127.64,231
02/03/2020,10:52:41,127.63,127.62,127.63,100
02/03/2020,10:52:53,127.65,127.64,127.65,100
02/03/2020,10:52:54,127.65,127.65,127.66,100
02/03/2020,10:52:54,127.65,127.65,127.66,100
02/03/2020,10:52:54,127.65,127.65,127.66,100
02/03/2020,10:53:18,127.6407,127.64,127.65,400
02/03/2020,10:53:23,127.65,127.64,127.65,100
02/03/2020,10:53:23,127.65,127.64,127.65,400
02/03/2020,10:53:25,127.66,127.65,127.66,100
02/03/2020,10:53:30,127.65,127.65,127.66,100
02/03/2020,10:53:30,127.65,127.65,127.66,100
02/03/2020,10:53:30,127.65,127.65,127.66,200
02/03/2020,10:53:30,127.65,127.65,127.66,100
02/03/2020,10:53:30,127.65,127.65,127.66,100
02/03/2020,10:53:30,127.65,127.65,127.66,100
02/03/2020,10:53:30,127.65,127.65,127.66,100
02/03/2020,10:53:30,127.65,127.65,127.66,100
02/03/2020,10:53:30,127.65,127.65,127.66,100
02/03/2020,10:53:30,127.65,127.65,127.66,100
02/03/2020,10:53:30,127.65,127.65,127.66,100
02/03/2020,10:53:30,127.65,127.65,127.66,100
02/03/2020,10:53:30,127.65,127.65,127.66,100
02/03/2020,10:53:30,127.65,127.65,127.66,100
02/03/2020,10:53:30,127.65,127.65,127.66,100
02/03/2020,10:53:30,127.64,127.65,127.66,481
02/03/2020,10:53:38,127.655,127.65,127.66,132
02/03/2020,10:53:43,127.6399,127.63,127.65,110
02/03/2020,10:53:46,127.635,127.63,127.64,100
02/03/2020,10:54:21,127.63,127.62,127.63,100
02/03/2020,10:54:21,127.625,127.62,127.63,100
02/03/2020,10:54:25,127.62,127.62,127.63,112
02/03/2020,10:54:30,127.61,127.61,127.62,100
02/03/2020,10:54:32,127.6,127.59,127.6,100
02/03/2020,10:54:35,127.6,127.6,127.61,100
02/03/2020,10:54:36,127.59,127.59,127.6,100
02/03/2020,10:54:36,127.59,127.58,127.59,100
02/03/2020,10:54:39,127.6,127.6,127.61,400
02/03/2020,10:54:39,127.6,127.6,127.61,700
02/03/2020,10:54:39,127.6,127.6,127.61,100
02/03/2020,10:54:39,127.6,127.6,127.61,400
02/03/2020,10:54:39,127.6,127.6,127.61,200
02/03/2020,10:54:39,127.6,127.6,127.61,100
02/03/2020,10:54:39,127.6,127.6,127.61,100
02/03/2020,10:54:39,127.6,127.6,127.61,100
02/03/2020,10:54:39,127.6,127.6,127.61,100
02/03/2020,10:54:39,127.6,127.6,127.61,100
02/03/2020,10:54:39,127.6,127.6,127.61,300
02/03/2020,10:54:40,127.61,127.61,127.62,100
02/03/2020,10:54:41,127.63,127.62,127.63,400
02/03/2020,10:54:43,127.64,127.63,127.64,100
